i,n
0,hold
1,free
2,print
3,get_char_code
4,parse_float
5,parse_int
6,parse_number
7,get_max
8,get_min
9,floor
10,ceil
11,round
12,get_abs
13,get_cos
14,get_acos
15,get_sin
16,get_asin
17,get_tan
18,get_atan
19,get_atan2
20,get_log
21,get_sqrt
22,sleep
23,clear_timeout
24,get_timestamp
25,queue
26,get_char_from_code
27,get_char_from_code_point
28,check_if_missing
29,check_if_null
30,check_if_undefined
31,check_if_promise
32,check_if_array
33,check_if_number
34,check_if_string
35,check_if_float
36,check_if_integer
37,check_if_object
38,call
39,create
40,get_typeof
41,check_instanceof
42,create_string
43,set_attr
44,get_attr
45,remove_attr
46,branch
47,branch_and_return
48,branch_else
49,shift_left
50,shift_right
51,shift_right_unsigned
52,compute_bitwise_or
53,compute_bitwise_and
54,try_catch
55,try_catch_and_return
56,throw
57,add
58,subtract
59,multiply
60,divide
61,check_if_truthy
62,check_if_true
63,check_if_false
64,check_if_blank
65,check_if_strict_equal
66,check_gt
67,check_lt
68,check_gte
69,check_lte
70,check_and
71,check_or
72,set_title
73,set_src
74,set_disabled
75,get_title
76,get_src
77,get_disabled
78,get_length
79,pop
80,push